adult,title,genres,homepage,runtime,overview,poster_path,release_date,original_language
False,The Endless Summer,['Documentary'],,91,"Bruce Brown's The Endless Summer is one of the first and most influential surf movies of all time. The film documents American surfers Mike Hynson and Robert August as they travel the world during California’s winter (which, back in 1965 was off-season for surfing) in search of the perfect wave and ultimately, an endless summer.",https://image.tmdb.org/t/p/original/5W5uaqQ7NZTwoDMKO4AtdcahHex.jpg,15/06/1966,en
False,Pirates of the Caribbean: The Curse of the Black Pearl,"['Adventure', 'Fantasy', 'Action']",https://movies.disney.com/pirates-of-the-caribbean-the-curse-of-the-black-pearl,143,"Jack Sparrow, a freewheeling 18th-century pirate, quarrels with a rival pirate bent on pillaging Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her.",https://image.tmdb.org/t/p/original/z8onk7LV9Mmw6zKz4hT6pzzvmvl.jpg,09/07/2003,en
False,Kill Bill: Vol. 1,"['Action', 'Crime']",http://www.miramax.com/movie/kill-bill-volume-1,111,"An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.",https://image.tmdb.org/t/p/original/v7TaX8kXMXs5yFFGR41guUDNcnB.jpg,10/10/2003,en
False,Jarhead,"['Drama', 'War']",,123,"Jarhead is a film about a US Marine Anthony Swofford’s experience in the Gulf War. After putting up with an arduous boot camp, Swofford and his unit are sent to the Persian Gulf where they are eager to fight, but are forced to stay back from the action. Swofford struggles with the possibility of his girlfriend cheating on him, and as his mental state deteriorates, his desire to kill increases.",https://image.tmdb.org/t/p/original/55WJCdayHwoXJwRv3prpqscHt2q.jpg,04/11/2005,en
False,Walk on Water,['Drama'],http://www.walkonwatermovie.com,103,"Eyal, an Israeli Mossad agent, is given the mission to track down and kill the very old Alfred Himmelman, an ex-Nazi officer, who might still be alive. Pretending to be a tourist guide, he befriends his grandson Axel, in Israel to visit his sister Pia. The two men set out on a tour of the country, during which Axel challenges Eyal's values.",https://image.tmdb.org/t/p/original/mVWFN3RaBFLuJRtRLPebatX9qPq.jpg,05/02/2004,he
False,9 Songs,"['Drama', 'Music', 'Romance']",,69,"Matt, a young glaciologist, soars across the vast, silent, icebound immensities of the South Pole as he recalls his love affair with Lisa. They meet at a mobbed rock concert in a vast music hall - London's Brixton Academy. They are in bed at night's end. Together, over a period of several months, they pursue a mutual sexual passion whose inevitable stages unfold in counterpoint to nine live-concert songs.",https://image.tmdb.org/t/p/original/91O7z0vo7MiNWd5xD2BoivwbQsb.jpg,16/07/2004,en
False,Apocalypse Now,"['Drama', 'War']",http://www.apocalypsenow.com,147,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",https://image.tmdb.org/t/p/original/gQB8Y5RCMkv2zwzFHbUJX3kAhvA.jpg,15/08/1979,en
False,Unforgiven,['Western'],,130,"William Munny is a retired, once-ruthless killer turned gentle widower and hog farmer. To help support his two motherless children, he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. Joined by his former partner and a cocky greenhorn, he takes on a corrupt sheriff.",https://image.tmdb.org/t/p/original/54roTwbX9fltg85zjsmrooXAs12.jpg,07/08/1992,en
False,The Simpsons Movie,"['Animation', 'Comedy', 'Family']",http://www.simpsonsmovie.com/,87,"After Homer accidentally pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.",https://image.tmdb.org/t/p/original/s3b8TZWwmkYc2KoJ5zk77qB6PzY.jpg,25/07/2007,en
False,Eternal Sunshine of the Spotless Mind,"['Science Fiction', 'Drama', 'Romance']",http://www.eternalsunshine.com,108,"Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.",https://image.tmdb.org/t/p/original/5MwkWH9tYHv3mV9OdYTMR5qreIz.jpg,19/03/2004,en
False,Amores Perros,"['Drama', 'Thriller']",,154,"A fatalistic car crash in Mexico city sets off a chain of events in the lives of three people: a supermodel, a young man wanting to run off with his sister-in-law, and a homeless man. Their lives are catapulted into unforeseen situations instigated by the seemingly inconsequential destiny of a dog.",https://image.tmdb.org/t/p/original/vV4vlD4ool5JSsS1rB82qjCF6z8.jpg,16/06/2000,es
False,Pirates of the Caribbean: Dead Man's Chest,"['Adventure', 'Fantasy', 'Action']",https://movies.disney.com/pirates-of-the-caribbean-dead-mans-chest,151,Captain Jack Sparrow works his way out of a blood debt with the ghostly Davy Jones to avoid eternal damnation.,https://image.tmdb.org/t/p/original/lAhcKRt0ggTFkeFL95jrGQYaRXs.jpg,06/07/2006,en
False,A History of Violence,"['Drama', 'Thriller', 'Crime']",,96,An average family is thrust into the spotlight after the father commits a seemingly self-defense murder at his diner.,https://image.tmdb.org/t/p/original/A26rcvipOqptVs7i5uRmKicXRxE.jpg,23/09/2005,en
False,2001: A Space Odyssey,"['Science Fiction', 'Mystery', 'Adventure']",http://2001spaceodysseymovie.com,149,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",https://image.tmdb.org/t/p/original/ve72VxNqjGM69Uky4WTo2bK6rfq.jpg,02/04/1968,en
False,Twelve Monkeys,"['Science Fiction', 'Thriller', 'Mystery']",,129,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",https://image.tmdb.org/t/p/original/gt3iyguaCIw8DpQZI1LIN5TohM2.jpg,29/12/1995,en
False,Talk to Her,"['Drama', 'Romance']",,112,Two men share an odd friendship while they care for two women who are both in deep comas.,https://image.tmdb.org/t/p/original/p8ilqBhIT5YnKOf6hBPEVPc8uGS.jpg,15/03/2002,es
False,8 Mile,"['Drama', 'Music']",https://www.uphe.com/movies/8-mile,111,"For Jimmy Smith, Jr., life is a daily fight just to keep hope alive. Feeding his dreams in Detroit's vibrant music scene, Jimmy wages an extraordinary personal struggle to find his own voice - and earn a place in a world where rhymes rule, legends are born and every moment… is another chance.",https://image.tmdb.org/t/p/original/7BmQj8qE1FLuLTf7Xjf9sdIHzoa.jpg,08/11/2002,en
False,Absolute Power,"['Crime', 'Drama', 'Action']",,121,"A master thief coincidentally is robbing a house where a murder—in which the President of The United States is involved—occurs in front of his eyes. He is forced to run, while holding evidence that could convict the President.",https://image.tmdb.org/t/p/original/xX9gmwtnTi0Y8WcTF7Jsg9Hdp6W.jpg,14/02/1997,en
False,Paradise Now,"['Thriller', 'Crime', 'Drama']",http://wip.warnerbros.com/paradisenow/,90,Two childhood friends are recruited for a suicide bombing in Tel Aviv.,https://image.tmdb.org/t/p/original/qWZkYa8VdcDZk8uzRB2PfhpM9IL.jpg,07/09/2005,en
False,Brazil,"['Comedy', 'Science Fiction']",,143,"Low-level bureaucrat Sam Lowry escapes the monotony of his day-to-day life through a recurring daydream of himself as a virtuous hero saving a beautiful damsel. Investigating a case that led to the wrongful arrest and eventual death of an innocent man instead of wanted terrorist Harry Tuttle, he meets the woman from his daydream, and in trying to help her gets caught in a web of mistaken identities, mindless bureaucracy and lies.",https://image.tmdb.org/t/p/original/d0PibPzCK4fVikjoD1PqHovbvkt.jpg,20/02/1985,en
False,Walk the Line,"['Drama', 'Music', 'Romance']",,136,"A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis and Carl Perkins.",https://image.tmdb.org/t/p/original/p8lPTjvjOjTfvC1E9pmMwcF9vkn.jpg,13/09/2005,en
False,Million Dollar Baby,['Drama'],http://www.milliondollarbaby-derfilm.de/,132,"Despondent over a painful estrangement from his daughter, trainer Frankie Dunn isn't prepared for boxer Maggie Fitzgerald to enter his life. But Maggie's determined to go pro and to convince Dunn and his cohort to help her.",https://image.tmdb.org/t/p/original/2ti3l1OeB8G94yyqfAI7nmMZUbA.jpg,15/12/2004,en
False,Billy Elliot,"['Drama', 'Comedy', 'Music']",,110,"County Durham, England, 1984. The miners' strike has started and the police have started coming up from Bethnal Green, starting a class war with the lower classes suffering. Caught in the middle of the conflict is 11-year old Billy Elliot, who, after leaving his boxing club for the day, stumbles upon a ballet class and finds out that he's naturally talented. He practices with his teacher Mrs. Wilkinson for an upcoming audition in Newcastle-upon Tyne for the royal Ballet school in London.",https://image.tmdb.org/t/p/original/nOr5diUZxphmAD3li9aiILyI28F.jpg,28/09/2000,en
False,American History X,['Drama'],,119,"Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",https://image.tmdb.org/t/p/original/euypWkaYFOLW3e5rLIcTAjWnhhT.jpg,01/07/1998,en
False,War of the Worlds,"['Adventure', 'Thriller', 'Science Fiction']",https://amblin.com/movie/war-of-the-worlds/,117,"Ray Ferrier is a divorced dockworker and less-than-perfect father. Soon after his ex-wife and her new husband drop off his teenage son and young daughter for a rare weekend visit, a strange and powerful lightning storm touches down.",https://image.tmdb.org/t/p/original/6Biy7R9LfumYshur3YKhpj56MpB.jpg,28/06/2005,en
False,Mars Attacks!,"['Comedy', 'Fantasy', 'Science Fiction']",https://www.warnerbros.com/movies/mars-attacks/,106,"A fleet of Martian spacecraft surrounds the world's major cities and all of humanity waits to see if the extraterrestrial visitors have, as they claim, ""come in peace."" U.S. President James Dale receives assurance from science professor Donald Kessler that the Martians' mission is a friendly one. But when a peaceful exchange ends in the total annihilation of the U.S. Congress, military men call for a full-scale nuclear retaliation.",https://image.tmdb.org/t/p/original/hll4O5vSAfnZDb6JbnP06GPtz7b.jpg,13/12/1996,en
False,Before Sunrise,"['Drama', 'Romance']",https://www.warnerbros.com/movies/sunrise,101,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",https://image.tmdb.org/t/p/original/kf1Jb1c2JAOqjuzA3H4oDM263uB.jpg,27/01/1995,en
False,Memento,"['Mystery', 'Thriller']",,113,"Leonard Shelby is tracking down the man who raped and murdered his wife. The difficulty of locating his wife's killer, however, is compounded by the fact that he suffers from a rare, untreatable form of short-term memory loss. Although he can recall details of life before his accident, Leonard cannot remember what happened fifteen minutes ago, where he's going, or why.",https://image.tmdb.org/t/p/original/yuNs09hvpHVU1cBTCAk9zxsL2oW.jpg,11/10/2000,en
False,Blade Runner,"['Science Fiction', 'Drama', 'Thriller']",http://www.warnerbros.com/blade-runner,118,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",https://image.tmdb.org/t/p/original/63N9uy8nd9j7Eog2axPQ8lbr3Wj.jpg,25/06/1982,en
False,Hero,"['Drama', 'Adventure', 'Action', 'History']",,99,"During China's Warring States period, a district prefect arrives at the palace of Qin Shi Huang, claiming to have killed the three assassins who had made an attempt on the king's life three years ago.",https://image.tmdb.org/t/p/original/1NBtOH3KPU9UUp1vzVHJ8qzdW88.jpg,22/07/2002,zh
False,Before Sunset,"['Drama', 'Romance']",https://www.warnerbros.com/movies/sunset,80,"Nine years later, Jesse travels across Europe giving readings from a book he wrote about the night he spent in Vienna with Celine. After his reading in Paris, Celine finds him, and they spend part of the day together before Jesse has to again leave for a flight. They are both in relationships now, and Jesse has a son, but as their strong feelings for each other start to return, both confess a longing for more.",https://image.tmdb.org/t/p/original/gycdE1ARByGQcK4fYR2mgpU6OO.jpg,16/06/2004,en
False,Nausicaä of the Valley of the Wind,"['Adventure', 'Animation', 'Fantasy']",https://movies.disney.com/nausicaa-of-the-valley-of-the-wind,117,"After a global war, the seaside kingdom known as the Valley of the Wind remains one of the last strongholds on Earth untouched by a poisonous jungle and the powerful insects that guard it. Led by the courageous Princess Nausicaä, the people of the Valley engage in an epic struggle to restore the bond between humanity and Earth.",https://image.tmdb.org/t/p/original/tcrkfB8SRPQCgwI88hQScua6nxh.jpg,11/03/1984,ja
False,Miami Vice,"['Action', 'Crime', 'Thriller']",,132,"A case involving drug lords and murder in South Florida takes a personal turn for undercover detectives Sonny Crockett and Ricardo Tubbs. Unorthodox Crockett gets involved romantically with the Chinese-Cuban wife of a trafficker of arms and drugs, while Tubbs deals with an assault on those he loves.",https://image.tmdb.org/t/p/original/z0C3FG7YU4nZgt8NzoXjHRVByVY.jpg,27/07/2006,en
False,Open Water,"['Drama', 'Thriller', 'Horror']",,79,"Two divers are left out at sea without a boat. There’s nothing but water for miles, unless they look at what’s underneath them...",https://image.tmdb.org/t/p/original/pjLh97W1J8AdcuKWzqqdKHfYmp5.jpg,26/10/2003,en
False,Raiders of the Lost Ark,"['Adventure', 'Action']",http://www.indianajones.com,115,"When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.",https://image.tmdb.org/t/p/original/ceG9VzoRAVGwivFU403Wc3AHRys.jpg,12/06/1981,en
False,The Elementary Particles,"['Drama', 'Romance']",http://www.elementarteilchen.film.de/,105,"Based on Michel Houellebecq's controversial novel, Atomised (aka The Elementary Particles) focuses on Michael and Bruno, two very different half-brothers and their disturbed sexuality.  After a chaotic childhood with a hippie mother only caring for her affairs, Michael, a molecular biologist, is more interested in genes than women, while Bruno is obsessed with his sexual desires, but mostly finds his satisfaction with prostitutes.  But Bruno's life changes when he gets to know the experienced Christiane.  In the meantime, Michael meets Annabelle, the love of his youth, again.",https://image.tmdb.org/t/p/original/wpGpR7GewyApPgqPvuWadBAfmFc.jpg,10/02/2006,de
False,Indiana Jones and the Temple of Doom,"['Adventure', 'Action']",http://www.indianajones.com,118,"After arriving in India, Indiana Jones is asked by a desperate village to find a mystical stone. He agrees – and stumbles upon a secret cult plotting a terrible plan in the catacombs of an ancient palace.",https://image.tmdb.org/t/p/original/t7Pv44sBcxhc47kNNDDafNAgr7Y.jpg,23/05/1984,en
False,Dirty Dancing,"['Drama', 'Music', 'Romance']",http://lionsgateathome.com/dirty-dancing,100,"Expecting the usual tedium that accompanies a summer in the Catskills with her family, 17-year-old Frances 'Baby' Houseman is surprised to find herself stepping into the shoes of a professional hoofer—and unexpectedly falling in love.",https://image.tmdb.org/t/p/original/9Jw6jys7q9gjzVX5zm1z0gC8gY9.jpg,21/08/1987,en
False,Indiana Jones and the Last Crusade,"['Adventure', 'Action']",http://www.indianajones.com/crusade,127,"In 1938, an art collector appeals to eminent archaeologist Dr. Indiana Jones to embark on a search for the Holy Grail. Indy learns that a medieval historian has vanished while searching for it, and the missing man is his own father, Dr. Henry Jones Sr.. He sets out to rescue his father by following clues in the old man's notebook, which his father had mailed to him before he went missing. Indy arrives in Venice, where he enlists the help of a beautiful academic, Dr. Elsa Schneider, along with Marcus Brody and Sallah. Together they must stop the Nazis from recovering the power of eternal life and taking over the world!",https://image.tmdb.org/t/p/original/sizg1AU8f8JDZX4QIgE4pjUMBvx.jpg,24/05/1989,en
False,Beverly Hills Cop,"['Action', 'Comedy', 'Crime']",https://www.paramount.com/movies/beverly-hills-cop,105,"Fast-talking, quick-thinking Detroit street cop Axel Foley has bent more than a few rules and regs in his time, but when his best friend is murdered, he heads to sunny Beverly Hills to work the case like only he can.",https://image.tmdb.org/t/p/original/eBJEvKkhQ0tUt1dBAcTEYW6kCle.jpg,05/12/1984,en
False,Land Without Bread,['Documentary'],,29,"An exploration —manipulated and staged— of life in Las Hurdes, in the province of Cáceres, in Extremadura, Spain, as it was in 1932. Insalubrity, misery and lack of opportunities provoke the emigration of young people and the solitude of those who remain in the desolation of one of the poorest and least developed Spanish regions at that time. (Silent short, voiced in 1937 and 1996.)",https://image.tmdb.org/t/p/original/iQM715v277SIw66Y1bJ1KiK5WNx.jpg,01/12/1933,es
False,Megacities,['Documentary'],,94,Megacities is a documentary about the slums of five different metropolitan cities.,https://image.tmdb.org/t/p/original/qO48XLCG58cICOgAR57ao0PrJ6A.jpg,12/08/1998,en
False,Anatomy of a Murder,"['Crime', 'Drama', 'Mystery']",,161,"Semi-retired Michigan lawyer Paul Biegler takes the case of Army Lt. Manion, who murdered a local innkeeper after his wife claimed that he raped her. Over the course of an extensive trial, Biegler parries with District Attorney Lodwick and out-of-town prosecutor Claude Dancer to set his client free, but his case rests on the victim's mysterious business partner, who's hiding a dark secret.",https://image.tmdb.org/t/p/original/zMxLbSPpToTCc6yK2Gddhx6nHNN.jpg,01/07/1959,en
False,Kunstgriff,['Comedy'],,6,Kunstgriff is a brilliantly filmed black and white short film. Andre F. Nebe gives proof of his storytelling abilities in this 6 minute film.,https://image.tmdb.org/t/p/original/82CFTXepfmETr2C4n7ZlrpLyjAx.jpg,01/01/2002,de
False,Armageddon,"['Action', 'Thriller', 'Science Fiction', 'Adventure']",,151,"When an asteroid threatens to collide with Earth, NASA honcho Dan Truman determines the only way to stop it is to drill into its surface and detonate a nuclear bomb. This leads him to renowned driller Harry Stamper, who agrees to helm the dangerous space mission provided he can bring along his own hotshot crew. Among them is the cocksure A.J. who Harry thinks isn't good enough for his daughter, until the mission proves otherwise.",https://image.tmdb.org/t/p/original/eTM3qtGhDU8cvjpoa6KEt5E2auU.jpg,01/07/1998,en
False,Beverly Hills Cop II,"['Action', 'Comedy', 'Crime']",https://www.paramount.com/movies/beverly-hills-cop-ii,103,"Axel Foley returns to the land of sunshine and palm trees to investigate the near-fatal shooting of police Captain Andrew Bogomil. With the help of Sgt. Taggart and Det. Rosewood, they soon uncover that the shooting is associated with a series of ""alphabet"" robberies masterminded by a heartless weapons kingpin—and the chase is on.",https://image.tmdb.org/t/p/original/egDakU8O5yUwpUJP9IMAUVtIDll.jpg,18/05/1987,en
False,Tron,"['Science Fiction', 'Action', 'Adventure']",https://movies.disney.com/tron,96,"When brilliant video game maker Flynn hacks the mainframe of his ex-employer, he is beamed inside an astonishing digital world...and becomes part of the very game he is designing. In his mission through cyberspace, Flynn matches wits with a maniacal Master Control Program and teams up with Tron, a security measure created to bring balance to the digital environment.",https://image.tmdb.org/t/p/original/zwSFEczP7AzqugAHHIX3zHniT0t.jpg,09/07/1982,en
False,Gladiator,"['Action', 'Drama', 'Adventure']",,155,"In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos.  Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor.  As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed.  He escapes, but is captured by slave traders.  Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences.",https://image.tmdb.org/t/p/original/ty8TGRuvJLPUmAR1H1nRIsgwvim.jpg,04/05/2000,en
False,All About My Mother,"['Comedy', 'Drama']",,101,"Following the tragic death of her teenage son, Manuela travels from Madrid to Barcelona in an attempt to contact the long-estranged father the boy never knew. She reunites with an old friend, an outspoken transgender sex worker, and befriends a troubled actress and a pregnant, HIV-positive nun.",https://image.tmdb.org/t/p/original/hjQhzhkGYXPNM96k0mOgob6HMmn.jpg,16/04/1999,es
False,"Lock, Stock and Two Smoking Barrels","['Comedy', 'Crime']",http://www.universalstudiosentertainment.com/lock-stock-and-two-smoking-barrels/,105,A card shark and his unwillingly-enlisted friends need to make a lot of cash quick after losing a sketchy poker match. To do this they decide to pull a heist on a small-time gang who happen to be operating out of the flat next door.,https://image.tmdb.org/t/p/original/wt2TRBmFmBn5M5MBcPTwovlREaB.jpg,28/08/1998,en
False,Léon: The Professional,"['Crime', 'Drama', 'Action']",,111,"Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.",https://image.tmdb.org/t/p/original/yI6X2cCM5YPJtxMhUd3dPGqDAhw.jpg,14/09/1994,en
False,Open Hearts,"['Drama', 'Romance']",,113,"Cecilie and Joachim are about to get married when a freak car accident leaves Joachim disabled, throwing their lives into a spin. The driver of the other car, Marie, and her family don’t get off lightly, either. Her husband Niels works in the hospital where he meets Cecilie and falls madly in love with her.",https://image.tmdb.org/t/p/original/hOrV2fCw2kmSiS4ZMGFPfXqr3lt.jpg,06/09/2002,da
False,Taxi Driver,"['Crime', 'Drama']",,114,A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,https://image.tmdb.org/t/p/original/ekstpH614fwDX8DUln1a2Opz0N8.jpg,09/02/1976,en
False,Run Lola Run,"['Action', 'Drama', 'Thriller']",,81,"Lola receives a phone call from her boyfriend Manni. He lost 100,000 DM in a subway train that belongs to a very bad guy. She has 20 minutes to raise this amount and meet Manni. Otherwise, he will rob a store to get the money. Three different alternatives may happen depending on some minor event along Lola's run.",https://image.tmdb.org/t/p/original/v0giIi4bTILVhNhJajet3WWY3FA.jpg,03/03/1998,de
